Variant SKU,Variant metafield value at custom.name,Variant option 1 value
827298870364,WIG@ LACE ARLENA @DR4/CREAM BOLONDE,#DR4/CREAM BLONDE
827298911869,WIG@ LACE SILVANA @DRFF2 CINNAMON SPICE,#DRFF2/CINNAMON SPICE
827298892281,WIG@ LACE EVERY16 @GOLDEN AMBER,#DRFF GOLDEN AMBER
827298893707,WIG@ LACE EVERY13 @GOLDEN AMBER,#DR2/GOLDEN AMBER
827298893851,WIG@ LACE EVERY12 @DRFF4/CHAMPAGNE,#CINNAMON SPICE
827298893622,WIG@ LACE EVERY12 @DRFF2/CINNAMON SPICE,#CHOCOLATE
827298893509,WIG@ LACE EVERY11 @GOLDEN AMBER,#DRFF GOLDEN AMBER
803868486746,WIG@ LACE TYRINA @MP/SDBLONDE,#MP/SANDYBLONDE
827298914488,WIG@ LACE BEXLEY @CHOSWI,#CHOCOLATE SWIRL
827298914471,WIG@ LACE BEXLEY @CINWN,#CINNAMON WINE
827298914464,WIG@ LACE BEXLEY @DRRDVV,#DR RED VELVET
827298914457,WIG@ LACE BEXLEY @DR4/GDNGNBL,#DR4/GOLDEN HONEY BLONDE
827298914433,WIG@ LACE BEXLEY @DRFFGDNAM,#DRFF GOLDEN AMBER
827298914440,WIG@ LACE BEXLEY @DRFF2/GIBRN,#DRFF2/GINGER BROWN
827298914426,WIG@ LACE BEXLEY @DRFF4/BTDTST,#DRFF4/BUTTERED TOAST
827298949480,WIG@ LACE TATIENNE @DRF2/HAZENUT BROWN,#DRF2/HAZELNUT BROWN
827298949473,WIG@ LACE TATIENNE @DR COPPER,#DR COPPER ORANGE
827298935711,WIG FW VEENA #DR2/ BL SANDY BLONDE,#DR2/BL SANDY BLONDE
827298935810,WIG@ FW TASSIE @DR2/BL SANDY BLOLDE,#DR2/BL SANDY BLONDE
827298930785,WIG@ LACE LUCIENNE @DR4/ SANDY BLONDE,#DR4/SANDY BLONDE
827298899921,WIG@LACE SUVI @MAC,#MACCHIATO
827298852773,WIG@ LACE KIELY @3CR SNF,#3CR SUNFLOWER
827298909927,WIG@ LACE TENALIE @DR MOCHA BLONDE,#DR MOCHA BRONDE BALAYAGE
803868520624,WIG@ LACE BUTTA 26 @BALAYAGE IERYRED,#BALAYAGE FIERYRED
827298879657,WIG@ LACE ELLA @DRRDVV,#DR RED VELVET
846926135125,WIG@ LACE DIVINE(IT'S A WIG) @TP99j/BURG,#TP99J/BURG
803868511158,WIGW LACE RASHANA #MP/SANDY BLONDE,#MP/SANDYBLONDE
827298946410,WIG@ FW FLORIS @HANAVA BROWN,#HAVANA BROWN
827298933175,WIG@ FW WAVERLY @DR4/TIRMISU,#DR4/TIRAMISU
650270484019,WIGW LACE ARIANA L/U #FF CREAM,#FFCREAM
650270484026,WIGW LACE ARIANA L/U #FF GOLD BROWN,#FFGOLDBRN
650270484033,WIGW LACE ARIANA L/U #FF HOT CHOCO,#FFHOTCHOCO
650270484071,WIGW LACE ARIANA L/U #OT COPPER,#OTCOPPER
650270492038,WIGW@ LACE GENEVE L/U @OT COPPER,#OTCOPPER
650270550165,WIGW LACE LADONNA L/U #FF CREAM,#FFCREAM
650270550172,WIGW LACE LADONNA L/U #FF GOLD BROWN,#FFGOLDBRN
650270550189,WIGW LACE LADONNA L/U #FF HOT CHOCO,#FFHOTCHOCO
650270472948,WIGW LACE LADONNA L/U #OT COPPER,#OTCOPPER
650270472955,WIGW LACE LADONNA L/U #OT RED,#OTRED
650270551414,WIGW LACE SYLVIE L/U #FF CREAM,#FFCREAM
650270551421,WIGW LACE SYLVIE L/U #FF GOLD BROWN,#FFGOLDBRN
650270551438,WIGW LACE SYLVIE L/U #FF HOT CHOCO,#FFHOTCHOCO
650270472993,WIGW LACE SYLVIE L/U #OT COPPER,#OTCOPPER
650270484125,WIGW@ LACE JULIA L/U @FF CREAM,#FFCREAM
650270484132,WIGW@ LACE JULIA L/U @FF GOLD BROWN,#FFGOLDBRN
650270484149,WIGW@ LACE JULIA L/U @FF HOT CHOCO,#FFHOTCHOCO
650270484187,WIGW@ LACE JULIA L/U @OT COPPER,#OTCOPPER
650270550103,WIGW LACE TALISA L/U #FF CREAM,#FFCREAM
650270550110,WIGW LACE TALISA L/U #FF GOLD BROWN,#FFGOLDBRN
650270550127,WIGW LACE TALISA L/U #FF HOT CHOCO,#FFHOTCHOCO
650270472900,WIGW LACE TALISA L/U #OT COPPER,#OTCOPPER
846926155116,WIGW LACE ROROH #TT99J/BURG,#T99J/BURG
827298941361,WIGW@ LACE RYELLA @DRFF HAZENUT,#DRFF HAZELNUT
827298916659,WIGW HH LYRA #NBLK,#NATURAL BLACK
827298916666,WIGW HH LYRA #NBRN,#NATURAL BROWN
827298918905,WIGW@ LACE GEOVANNA @DRFF HONEY BRWON,#DRFF HONEY BROWN
827298918899,WIGW@ LACE GEOVANNA @DRFF2/CINNAMON SPCIE,#DRFF2/CINNAMON SPICE
827298926009,WIGW HHL KENNA #NBRN,#NATURAL BROWN
827298926016,WIGW HHL KENNA #NBLK,#NATURAL BLACK
827298948599,WIGW LACE 13X4 DOMINICA 16 #DR2/CINAMON WINE,#DR2/CINNAMON WINE
827298940265,WIGW@ HHL ANTOINETTE @NBLK,#NATURAL BLACK
827298940272,WIGW@ HHL ANTOINETTE @NBRN,#NATURAL BROWN
827298940548,WIGW LACE NATURAL YAKI 22 #DRFF CUTCH COCOA,#DRFF DUTCH COCOA
827298921127,WIG@ LACE DENVER @DRFF2/GICP,#DRFF2/GINGER COPPER
827298921172,WIG@ LACE DENVER @DRFF2/CINSP,#DRFF2/CINNAMON SPICE
827298921165,WIG@ LACE DENVER @DRFFHNBRN,#DRFF HONEY BROWN
827298921110,WIG@ LACE DENVER @DRFFBLKCHER,#DRFF BLACK CHERRY
827298921103,WIG@ LACE DENVER @DR4/HNBL,#DR4/HONEY BLONDE
827298921158,WIG@ LACE DENVER @DR2/GDNHNBL,#DR2/GOLDEN HONEY BLONDE
827298921073,WIG@ LACE DENVER @DRCHOSWI,#DR CHOCOLATE SWIRL
827298878339,WIG@ LACE PATRICE @DRRDVV,#DR RED VELVET
827298930877,WIGW LACE KALANI #DR4/BROWN SUGAR,#DR4/BROWN SUGAR MELT
827298947912,WIGW@ LACE SHANA @DRFF MIDINIGHT RUBY ROSE,#DRFF MIDNIGHT RUBY ROSE
827298947929,WIGW@ LACE SHANA @DRFF MIDINIGHT SUNSET,#DRFF MIDNIGHT SUNSET
827298910022,WIG@ LACE OCEANE @DR MOCHA BLONDE,#DR MOCHA BRONDE BALAYAGE
803868529061,WIGW@ LACE 13X6 JALISA @FLAMBOYAGESAND,#FLAMBOYAGE SAND
803868528958,WIGW LACE VICE UNIT 14 #TD/PURPLE,#TIP DYE PURPLE
803868528941,WIGW LACE VICE UNIT 14 #TD/HOT PINK,#TIP DYE HOT PINK
846926158858,WIG LACE GLAM UP BODY #FB/BROWN,#FLAMBOYAGE AUTUMN BROWN
846926158865,WIG LACE GLAM UP BODY #FB/SCOTCH,#FLAMBOYAGE BUTTER SCOTCH
846926158872,WIG LACE GLAM UP BODY #FB/GINGER,#FLAMBOYAGE GOLDEN GINGER
846926158933,WIG LACE GLAM UP STRAIGHT #FB/BROWN,#FLAMBOYAGE AUTUMN BROWN
846926158940,WIG LACE GLAM UP STRAIGHT #FB/SCOTCH,#FLAMBOYAGE BUTTER SCOTCH
846926158957,WIG LACE GLAM UP STRAIGHT #FB/GINGER,#FLAMBOYAGE GOLDEN GINGER
846926158773,WIG LACE GLAM UP L.WAVE #FB/BROWN,#FLAMBOYAGE AUTUMN BROWN
846926158780,WIG LACE GLAM UP L.WAVE #FB/SCOTCH,#FLAMBOYAGE BUTTER SCOTCH
846926158797,WIG LACE GLAM UP L.WAVE #FB/GINGER,#FLAMBOYAGE GOLDEN GINGER
803868566929,WIG HH BLISS #BG,#BURGUNDY
803868567902,WIG LACE 13X6 BARE 1 #SH/BUTTERYBLONDE,#SH/BUTTERBLONDE
803868568022,WIG@ LACE 13X6 UNIT 2 @SH/BUTTERYBLONDE,#SH/BUTTERBLONDE
846926163340,WIG@ FW BFF TRUE @CARAMEL SWIRL,#CARAMEL
803868560910,WIG@ LACE TALISA 12 @COLORMELT CHOCOLATE,#COLORMELCHOCOLATE
803868560897,WIG@ LACE TALISA 12 @COLORMELT BLONDE,#COLORMELTBLONDE
846926172458,WIG LACE 13X4 VIP #TTN1B/27,#TT1B/27
846926172359,WIG LACE 13X4 TANNIS #TTN1B/27,#TT1B/27
768538148181,WIG@ ESC MELINA @GARNET GLAZE,#GARNET-GLA
846926172656,WIG@ LACE ROD WINNIE @TTNB1/30,#TTN1B/30
803868605352,WIG FW DASHLY UNIT 22 #BEIGE BLONDE,#Beige Blonde
803868605369,WIG FW DASHLY UNIT 22 #CREAM BLONDE,#Cream Blonde
803868605383,WIG FW DASHLY UNIT 22 #JET BLUE,#Jet Blue
803868605390,WIG FW DASHLY UNIT 22 #PLATINUM BLONDE,#Platinum Blonde
827298083573,WIGT@ LACE ELLINGTON @DRFF4/UC AUBRUN BLONDE,#DRFF4/UC AUBURN BLONDE
846926174278,WIGT LACE GORGEOUS CROWN #TT1B/27,#TTN1B/27
846926171321,WIGT LACE 13X5 SOLMINA #BALAYAGE BURG LOC,#BALAYAGE BURG LOCK
846926174599,WIGT LACE BFF STORMI #BUTTER SCOTCH,#BUTTERSCOTCH
846926177378,WIGT FW Q YOHANA #NATRUAL CHAMPAGNE,#NATURAL CHAMPAGNE
803868597565,WIGT@ LACE 13X6 BARE 13 @BALAYAGE ASH BLONDE,#BALAYAGE ASHBLONDE
650270495350,WIGT HH TRINITY,#NATURAL
803868606663,WIG LACE CHIC BOB UNIT 1 #CREAMY BLONDE,#CREAM BLONDE
821090890605,WIG@ FW ANATY @OP99J,Default Title
803868601262,WIG FW DASHLY UNIT 21 #BALAYAGE LIGHT ASHBLONDE,#BALAYAGE LIGHTASHBLONDE
803868509513,WIG@ LACE DASHLY UNIT 21 @CHBLONDE,#CHUNKY BLONDE
803868509490,WIG@ LACE DASHLY UNIT 21 @CH27,#CHUNKY HIGHLIGHT 27
803868509506,WIG@ LACE DASHLY UNIT 21 @CH30,#CHUNKY HIGHLIGHT 30
827298101062,WIGT LACE CASTINE #CHERRY COFFE,#CHERRY COFFEE
6978147040262,"WIGT HH 4X4 L/DEEP 26"" #NATRUAL",#NATURAL
6978147041528,"WIGT HH 13X4 B/LOOSE 14"" #4/30",#P4/30
SAMPLE_29.99,SAMPLE_29.99,Default Title
803868624216,WIG LACE CHIC BOB LOB UNIT 8 #BALAYAGE ASH BLONDE,#BALAYAGE ASHBLONDE
846926180262,WIG LACE CRISTELA #FLAMBOYAGE BUTTER SOTCH,#FLAMBOYAGE BUTTER SCOTCH
846926179914,WIG LACE BEST #BUTTER SCOTCH,#BUTTERSCOTCH
846926180071,WIG LACE ROSE #BUTTER SCOTCH,#BUTTERSCOTCH
846926181436,WIG@ LACE 13X4 ROSSY @BUTTER SCOTCH,#BUTTERSCOTCH
827298115212,WIG HW DRISELLE #DR4/MUSHROOM BRLONDE,#DR4/MUSHROOM BLONDE
827298118657,WIG HW CURL HAVEN #DRST2/GINGER SPICE,#DRST4/GINGER SPICE
650270543426,WIG LACE 006 LITE @1,#OT COPPER
803868641787,WIG FW CHERRY #CHUNKY HIGHLIGHT 27,#CHUNKY HILIGHT 27
827298919933,"WIG@ HH W&W NAT DEEP 22""",#NATURAL BROWN
846926182136,WIGT LACE 4X4 QUEEN BRAID #1,#1B
